imagem,operacao,plataforma,tempo_s,cpu_percent,mem_percent
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\101_1.tif,insercao,PostgreSQL,0.02095937728881836,9.1,63.6
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\101_1.tif,insercao,MongoDB,0.018197298049926758,36.4,63.7
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\101_1.tif,leitura_1_1,PostgreSQL,0.0031294822692871094,66.7,63.7
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\101_1.tif,leitura_1_1,MongoDB,0.013289690017700195,0.0,63.7
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\101_2.tif,insercao,PostgreSQL,0.0026030540466308594,0.0,59.0
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\101_2.tif,insercao,MongoDB,0.0019154548645019531,0.0,59.0
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\101_2.tif,leitura_1_1,PostgreSQL,0.0008122920989990234,40.0,59.0
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\101_2.tif,leitura_1_1,MongoDB,0.0018875598907470703,0.0,59.0
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\101_3.tif,insercao,PostgreSQL,0.0030927658081054688,50.0,57.6
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\101_3.tif,insercao,MongoDB,0.002378702163696289,0.0,57.6
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\101_3.tif,leitura_1_1,PostgreSQL,0.0013992786407470703,0.0,57.6
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\101_3.tif,leitura_1_1,MongoDB,0.002099275588989258,0.0,57.6
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\101_4.tif,insercao,PostgreSQL,0.0229036808013916,21.4,61.6
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\101_4.tif,insercao,MongoDB,0.004339694976806641,0.0,61.6
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\101_4.tif,leitura_1_1,PostgreSQL,0.001703023910522461,0.0,61.6
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\101_4.tif,leitura_1_1,MongoDB,0.0023872852325439453,50.0,61.6
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\101_5.tif,insercao,PostgreSQL,0.0029320716857910156,40.0,61.6
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\101_5.tif,insercao,MongoDB,0.0024213790893554688,0.0,61.6
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\101_5.tif,leitura_1_1,PostgreSQL,0.0013968944549560547,0.0,61.6
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\101_5.tif,leitura_1_1,MongoDB,0.0022726058959960938,0.0,61.6
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\101_6.tif,insercao,PostgreSQL,0.004629850387573242,0.0,60.4
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\101_6.tif,insercao,MongoDB,0.003737926483154297,0.0,60.4
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\101_6.tif,leitura_1_1,PostgreSQL,0.001657724380493164,0.0,60.4
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\101_6.tif,leitura_1_1,MongoDB,0.0016922950744628906,66.7,60.4
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\101_7.tif,insercao,PostgreSQL,0.022077322006225586,11.8,59.2
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\101_7.tif,insercao,MongoDB,0.0033419132232666016,0.0,59.2
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\101_7.tif,leitura_1_1,PostgreSQL,0.0017938613891601562,0.0,59.2
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\101_7.tif,leitura_1_1,MongoDB,0.002577543258666992,0.0,59.2
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\101_8.tif,insercao,PostgreSQL,0.02207636833190918,25.0,59.3
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\101_8.tif,insercao,MongoDB,0.00341033935546875,0.0,59.3
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\101_8.tif,leitura_1_1,PostgreSQL,0.001561880111694336,0.0,59.3
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\101_8.tif,leitura_1_1,MongoDB,0.002935171127319336,0.0,59.3
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\102_1.tif,insercao,PostgreSQL,0.021086692810058594,23.1,58.8
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\102_1.tif,insercao,MongoDB,0.0028107166290283203,0.0,58.8
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\102_1.tif,leitura_1_1,PostgreSQL,0.0015006065368652344,0.0,58.8
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\102_1.tif,leitura_1_1,MongoDB,0.0018448829650878906,0.0,58.8
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\102_2.tif,insercao,PostgreSQL,0.02213430404663086,12.5,61.1
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\102_2.tif,insercao,MongoDB,0.003092527389526367,0.0,61.1
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\102_2.tif,leitura_1_1,PostgreSQL,0.0015897750854492188,0.0,61.1
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\102_2.tif,leitura_1_1,MongoDB,0.002307415008544922,33.3,61.1
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\102_3.tif,insercao,PostgreSQL,0.0026702880859375,0.0,54.8
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\102_3.tif,insercao,MongoDB,0.003023386001586914,0.0,54.8
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\102_3.tif,leitura_1_1,PostgreSQL,0.0020630359649658203,0.0,54.8
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\102_3.tif,leitura_1_1,MongoDB,0.0028388500213623047,0.0,54.8
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\102_4.tif,insercao,PostgreSQL,0.0031168460845947266,0.0,53.4
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\102_4.tif,insercao,MongoDB,0.002862691879272461,0.0,53.4
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\102_4.tif,leitura_1_1,PostgreSQL,0.003918886184692383,75.0,53.4
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\102_4.tif,leitura_1_1,MongoDB,0.004286050796508789,0.0,53.4
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\102_5.tif,insercao,PostgreSQL,0.02109551429748535,25.0,56.0
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\102_5.tif,insercao,MongoDB,0.0031375885009765625,0.0,56.0
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\102_5.tif,leitura_1_1,PostgreSQL,0.0017883777618408203,0.0,56.0
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\102_5.tif,leitura_1_1,MongoDB,0.003037691116333008,0.0,56.0
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\102_6.tif,insercao,PostgreSQL,0.0024983882904052734,0.0,55.6
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\102_6.tif,insercao,MongoDB,0.0029168128967285156,0.0,55.7
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\102_6.tif,leitura_1_1,PostgreSQL,0.0018608570098876953,83.3,55.8
